"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Dream",36,17.9,190,3450,"female",2007
"2","Gentoo","Biscoe",49.5,16.1,224,5650,"male",2009
"3","Adelie","Biscoe",45.6,20.3,191,4600,"male",2009
"4","Gentoo","Biscoe",55.1,16,230,5850,"male",2009
"5","Gentoo","Biscoe",45.5,15,220,5000,"male",2008
"6","Gentoo","Biscoe",51.1,16.3,220,6000,"male",2008
"7","Adelie","Dream",32.1,15.5,188,3050,"female",2009
"8","Adelie","Torgersen",42.5,20.7,197,4500,"male",2007
"9","Chinstrap","Dream",46.9,16.6,192,2700,"female",2008
"10","Adelie","Torgersen",46,21.5,194,4200,"male",2007
"11","Gentoo","Biscoe",46.4,15,216,4700,"female",2008
"12","Adelie","Dream",39.2,21.1,196,4150,"male",2007
"13","Gentoo","Biscoe",46.6,14.2,210,4850,"female",2008
"14","Gentoo","Biscoe",49.8,16.8,230,5700,"male",2008
"15","Gentoo","Biscoe",44.5,14.7,214,4850,"female",2009
"16","Gentoo","Biscoe",53.4,15.8,219,5500,"male",2009
"17","Chinstrap","Dream",49.2,18.2,195,4400,"male",2007
"18","Chinstrap","Dream",50.9,17.9,196,3675,"female",2009
"19","Adelie","Dream",41.1,18.1,205,4300,"male",2008
"20","Chinstrap","Dream",45.2,16.6,191,3250,"female",2009
"21","Adelie","Torgersen",34.1,18.1,193,3475,NA,2007
"22","Adelie","Torgersen",45.8,18.9,197,4150,"male",2008
"23","Gentoo","Biscoe",46.8,14.3,215,4850,"female",2009
"24","Chinstrap","Dream",50.5,18.4,200,3400,"female",2008
"25","Chinstrap","Dream",48.1,16.4,199,3325,"female",2009
"26","Adelie","Torgersen",34.6,17.2,189,3200,"female",2008
"27","Adelie","Torgersen",41.8,19.4,198,4450,"male",2008
"28","Gentoo","Biscoe",48.5,14.1,220,5300,"male",2008
"29","Chinstrap","Dream",47.5,16.8,199,3900,"female",2008
"30","Adelie","Torgersen",39.5,17.4,186,3800,"female",2007
"31","Adelie","Biscoe",40.5,17.9,187,3200,"female",2007
"32","Gentoo","Biscoe",46.9,14.6,222,4875,"female",2009
"33","Gentoo","Biscoe",48.6,16,230,5800,"male",2008
"34","Gentoo","Biscoe",44.5,15.7,217,4875,NA,2009
"35","Chinstrap","Dream",45.4,18.7,188,3525,"female",2007
"36","Adelie","Dream",43.2,18.5,192,4100,"male",2008
"37","Adelie","Torgersen",40.2,17,176,3450,"female",2009
"38","Gentoo","Biscoe",49.6,15,216,4750,"male",2008
"39","Chinstrap","Dream",49.8,17.3,198,3675,"female",2009
"40","Adelie","Biscoe",37.7,18.7,180,3600,"male",2007
"41","Adelie","Dream",37.6,19.3,181,3300,"female",2007
"42","Gentoo","Biscoe",50,15.3,220,5550,"male",2007
"43","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"44","Adelie","Biscoe",38.6,17.2,199,3750,"female",2009
"45","Gentoo","Biscoe",42.9,13.1,215,5000,"female",2007
"46","Adelie","Biscoe",35,17.9,190,3450,"female",2008
"47","Adelie","Dream",36.9,18.6,189,3500,"female",2008
"48","Adelie","Biscoe",37.9,18.6,193,2925,"female",2009
"49","Gentoo","Biscoe",45.2,13.8,215,4750,"female",2008
"50","Adelie","Torgersen",41.5,18.3,195,4300,"male",2009
"51","Adelie","Biscoe",40.6,18.6,183,3550,"male",2007
"52","Adelie","Dream",36,17.1,187,3700,"female",2009
"53","Adelie","Torgersen",37.7,19.8,198,3500,"male",2009
"54","Adelie","Dream",40.6,17.2,187,3475,"male",2009
"55","Adelie","Biscoe",38.2,20,190,3900,"male",2009
"56","Adelie","Dream",36.3,19.5,190,3800,"male",2008
"57","Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"58","Gentoo","Biscoe",59.6,17,230,6050,"male",2007
"59","Gentoo","Biscoe",46.5,13.5,210,4550,"female",2007
"60","Adelie","Torgersen",NA,NA,NA,NA,NA,2007
"61","Gentoo","Biscoe",45.1,14.5,207,5050,"female",2007
"62","Adelie","Biscoe",34.5,18.1,187,2900,"female",2008
"63","Gentoo","Biscoe",45.5,14.5,212,4750,"female",2009
"64","Gentoo","Biscoe",45.3,13.8,208,4200,"female",2008
"65","Gentoo","Biscoe",47.2,13.7,214,4925,"female",2009
"66","Adelie","Dream",36.8,18.5,193,3500,"female",2009
"67","Chinstrap","Dream",46.4,18.6,190,3450,"female",2007
"68","Adelie","Dream",34,17.1,185,3400,"female",2008
"69","Gentoo","Biscoe",45.5,13.7,214,4650,"female",2007
"70","Adelie","Biscoe",35,17.9,192,3725,"female",2009
"71","Gentoo","Biscoe",45.1,14.4,210,4400,"female",2008
"72","Gentoo","Biscoe",45.2,14.8,212,5200,"female",2009
"73","Adelie","Dream",37.2,18.1,178,3900,"male",2007
"74","Gentoo","Biscoe",46.3,15.8,215,5050,"male",2007
"75","Adelie","Dream",40.8,18.9,208,4300,"male",2008
"76","Gentoo","Biscoe",46.5,14.4,217,4900,"female",2008
"77","Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"78","Gentoo","Biscoe",51.1,16.5,225,5250,"male",2009
"79","Chinstrap","Dream",45.6,19.4,194,3525,"female",2009
"80","Adelie","Torgersen",35.5,17.5,190,3700,"female",2008
"81","Adelie","Dream",33.1,16.1,178,2900,"female",2008
"82","Adelie","Torgersen",44.1,18,210,4000,"male",2009
"83","Gentoo","Biscoe",45,15.4,220,5050,"male",2008
"84","Adelie","Dream",38.1,17.6,187,3425,"female",2009
"85","Chinstrap","Dream",49.7,18.6,195,3600,"male",2008
"86","Chinstrap","Dream",48.5,17.5,191,3400,"male",2007
"87","Adelie","Dream",36.6,18.4,184,3475,"female",2009
"88","Adelie","Biscoe",37.7,16,183,3075,"female",2009
"89","Chinstrap","Dream",49.5,19,200,3800,"male",2008
"90","Chinstrap","Dream",50,19.5,196,3900,"male",2007
"91","Adelie","Dream",35.6,17.5,191,3175,"female",2009
"92","Chinstrap","Dream",40.9,16.6,187,3200,"female",2008
"93","Adelie","Torgersen",42.9,17.6,196,4700,"male",2008
"94","Adelie","Torgersen",38.7,19,195,3450,"female",2007
"95","Adelie","Torgersen",41.1,17.6,182,3200,"female",2007
"96","Gentoo","Biscoe",50,15.2,218,5700,"male",2007
"97","Gentoo","Biscoe",49.9,16.1,213,5400,"male",2009
"98","Chinstrap","Dream",45.7,17,195,3650,"female",2009
"99","Chinstrap","Dream",42.4,17.3,181,3600,"female",2007
"100","Gentoo","Biscoe",45.8,14.6,210,4200,"female",2007
